Chinese name,Name,CodeName,OverrideNameTextID,NamePrefixID,OverridePartnerSkillTextID,IsPal,Tribe,BPClass,variant,Volume size,rarity,Element 1,Element 2,GenusCategory,Organization,weapon,WeaponEquip,nocturnal,total_4D,HP,melee attack,Remote attack,defense,support,Speed of work,Level1Min,Level1Max,Level20Min,Level20Max,Level50Min,Level50Max,AIRResponse,AISightResponse,endurance,slow walking speed,walking speed,running speed,Riding sprint speed,damage multiplier,catch rate,Experience multiplier,price,Must bring entry 1,Must bring entry 2,Numerical description,Skill description,lv1.1,lv2.1,lv3.1,lv4.1,lv5.1
"Mian Youyou","Lamball","SheepBall","None","None","None",1,"SheepBall","SheepBall",0,"XS",1,"generally","none","Humanoid","None","None",0,0,280,70,70,70,70,100,100,105,106,205,236,362,441,"Friendly","0",100,23,40,400,0,2,"1,5",1,1000,"none","none","Ranch skills","When activated, it will transform into a shield equipped on the player. Assign it to Palu Ranch and it will have a chance to drop Wool.","0","0","0","0","0"
"Pipi Chicken","Chikipi","ChickenPal","None","None","None",1,"ChickenPal","ChickenPal",0,"XS",1,"generally","none","Bird","None","None",0,0,250,60,70,60,60,70,100,104,105,190,217,325,392,"Friendly","0",100,50,50,375,0,2,"1,5",1,1000,"none","none","Ranch skills","Assign it to Palu Ranch and it will have a chance to give birth to Eggs.","0","0","0","0","0"
"green leaf rat","Lifmunk","Carbunclo","None","None","None",1,"Carbunclo","Carbunclo",0,"XS",1,"Wood","none","Humanoid","None","None",0,0,285,75,70,70,70,100,100,105,106,205,236,362,441,"Escape","0",100,20,40,400,0,1,"0,9",1,1010,"none","none","Skill power","After being activated, it will sit on the player's head and use a submachine gun to chase after the player's attacks.","10","11","13","16","20"
"tinder fox","Foxparks","Kitsunebi","None","None","None",1,"Kitsunebi","Kitsunebi",0,"XS",1,"fire","none","FourLegged","None","None",0,0,280,65,70,75,70,100,100,105,107,212,246,381,465,"Escape_to_Battle","0",100,40,80,400,0,"1,3","1,1",1,1040,"none","none","Skill power","When activated, it will transform into a flamethrower equipped on the player.","10","11","13","16","20"
"surf duck","Fuack","BluePlatypus","None","None","None",1,"Blueplatypus","BluePlatypus",0,"XS",1,"water","none","Humanoid","None","None",0,0,280,60,80,80,60,100,100,106,107,220,256,400,490,"Escape_to_Battle","0",100,70,105,300,0,"1,3","1,1",1,1120,"none","none","Skill power multiplier","When activated, BluePlatypus will ride the wave towards the enemy.","1","1.1","1.3","1.6","2"
"Volt Meow","Sparkit","ElecCat","None","None","None",1,"ElecCat","ElecCat",0,"XS",1,"electricity","none","Humanoid","None","None",0,0,265,60,60,75,70,80,100,105,107,212,246,381,465,"Escape_to_Battle","0",100,40,80,350,0,"1,3","1,1",1,1030,"none","none","Attack power bonus%","If it is in the team, the elemental Electricity Palu's attack power will be increased.","10","11","13","16","20"
"Neolepithecus","Tanzee","Monkey","None","None","None",1,"Monkey","Monkey",0,"XS",1,"Wood","none","Humanoid","None","None",0,0,320,80,100,70,70,100,100,105,106,205,236,362,441,"Escape_to_Battle","0",100,48,48,300,0,"1,2","1,1",1,1280,"none","none","Skill power","After activation, Monkey will violently shoot nearby enemies with an assault rifle within a certain period of time.","20","22","26","32","40"
"Fire Deer","Rooby","FlameBambi","None","None","None",1,"FlameBambi","FlameBambi",0,"S",2,"fire","none","FourLegged","None","None",0,0,320,75,100,70,75,100,100,105,106,205,236,362,441,"Escape_to_Battle","0",100,70,100,400,0,"1,3","1,1",1,2950,"none","none","Attack power bonus%","If it is in the team, the elemental Fire Palu's attack power will be increased.","10","11","13","16","20"
"Keimaru","Pengullet","Penguin","None","None","None",1,"Penguin","Penguin",0,"XS",1,"water","ice","Humanoid","None","None",0,0,285,70,70,75,70,100,100,105,107,212,246,381,465,"Escape_to_Battle","0",100,30,60,500,0,1,"0,9",1,1080,"none","none","Skill power","After activation, players will equip Launcher_Default and can shoot Penguin as a cannonball. After hitting the target, Penguin will explode and fall into a dying state.","250","285","325","400","500"
"King Keimaru","Penking","CaptainPenguin","None","None","None",1,"CaptainPenguin","CaptainPenguin",0,"L",6,"water","ice","Humanoid","None","None",0,0,355,95,70,95,95,100,100,107,109,242,285,456,563,"Warlike","0",100,50,110,450,0,1,1,1,5410,"none","none","Drop increased by %_Fire","When fighting alongside it, if you knock down the elemental Fire's pallu, you can get more dropped items from that pallu.","40","50","60","70","80"
