name,minimum level,maximum level,fecondity,pallu refresh type,night only,refresh area
"Mian Youyou",1,14,1470,"Creeps",False,"grassland"
"Naughty cat",1,13,1460,"Creeps",False,"grassland"
"Pipi Chicken",1,13,1500,"Creeps",False,"grassland"
"green leaf rat",2,13,1430,"Creeps",False,"islands"
"tinder fox",2,18,1400,"Creeps",False,"islands"
"surf duck",2,13,1330,"Creeps",False,"islands"
"Volt Meow",3,17,1410,"Creeps",False,"grassland"
"Neolepithecus",2,13,1250,"Creeps",False,"islands"
"Fire Deer",2,13,1155,"Creeps",False,"islands"
"Keimaru",2,45,1350,"Creeps",False,"grassland"
"ice agouti",10,10,1370,"Creeps",False,"grassland"
"Ye Ni Ni (Special)",2,14,1240,"Creeps",False,"islands"
"Ye NiNi",2,14,1240,"Creeps",False,"islands"
"Tamamo fox",3,13,1450,"Creeps",False,"grassland"
"Tikar",3,14,1390,"Creeps",True,"grassland"
"pot elephant",1,13,1390,"Creeps",True,"islands"
"Look at the devil",3,14,1490,"Creeps",False,"grassland"
"Miruffy",2,14,1380,"Creeps",True,"grassland"
"sleep demon",3,15,1380,"Creeps",True,"islands"
"sage pig",2,13,1455,"Creeps",False,"grassland"
"Lunati",3,19,1455,"Creeps",False,"islands"
"Escape Rat",5,40,1230,"Creeps",True,"grassland"
"squid",5,13,1130,"Creeps",False,"islands"
"ice cream",30,45,1180,"Creeps",True,"islands"
"Meowster",5,15,1220,"Creeps",False,"dungeon"
"Rumiel",2,13,1290,"Creeps",False,"dungeon"
"hunting wolves",4,15,1440,"Creeps",False,"Snow"
"Fried egg bird",11,40,1480,"Creeps",False,"dungeon"
"Bona Rabbit",10,29,870,"Creeps",False,"grassland"
"Boba Cow",10,19,1060,"Creeps",False,"islands"
"Thorn Fairy",16,29,1340,"Creeps",False,"grassland"
"red shark",25,38,910,"Creeps",False,"grassland"
"Hanging spirit",14,40,1320,"Creeps",False,"forest"
"Icebound Spirit",33,35,1100,"Creeps",False,"volcano"
"Ye Panda",25,29,1090,"Creeps",False,"forest"
"Lei Panda",31,37,1422,"Creeps",True,"Snow"
"bush sheep",6,41,1420,"Creeps",False,"grassland"
"Melupa",5,17,430,"Creeps",False,"forest"
"Zixia Deer",6,13,1190,"Creeps",False,"grassland"
"Balrog Sheep",29,38,900,"Creeps",False,"game reserve"
"Blazing Ox",9,39,420,"Creeps",False,"grassland"
"Pa Pa Pa Catfish",14,38,1310,"Creeps",False,"islands"
"Black Crow Hermit",12,40,580,"Creeps",False,"game reserve"
"Hot-blooded lizard",15,38,590,"Creeps",False,"volcano"
"punk lizard",29,40,490,"Creeps",False,"forest"
"Moonscythe Demon",12,29,790,"Creeps",False,"grassland"
"mountain shooter",30,40,1080,"Creeps",True,"grassland"
"Iron Fist Ape",18,29,1120,"Creeps",False,"volcano"
"knight bee",20,25,1140,"Creeps",True,"volcano"
"queen bee",28,31,950,"Creeps",True,"grassland"
"Laughing Nightmare Cat",17,29,1030,"Creeps",False,"grassland"
"Mao duster",7,27,1000,"Creeps",False,"desert"
"thunder wildebeest",7,31,1070,"Creeps",False,"dungeon"
"blowing snow fox",28,32,1070,"Creeps",False,"forest"
"fire unicorn",29,38,330,"Creeps",False,"forest"
"Thunder Boy",29,40,680,"Creeps",False,"grassland"
"Mystia",32,45,760,"Creeps",False,"forest snow"
"Thunder Guanlong",35,47,360,"Creeps",False,"volcano"
"water-sliding snake",14,26,240,"Creeps",False,"dungeon"
"quicksand snake",30,40,880,"Creeps",False,"forest snow"
